source_record_id,device_id,user_id,device_type,platform,model_family,activated_date,deactivated_date,device_status,schema_version
DEVREC000018,DEV000018,USR004800,SMARTWATCH,ANDROID,WATCH_C,2025-09-03,2026-06-19,INACTIVE,1
DEVREC000019,DEV000019,USR003639,MOBILE_PHONE,ANDROID,PHONE_APP,2025-08-14,2026-06-30,RETIRED,1
DEVREC000020,DEV000020,USR004267,FITNESS_BAND,ANDROID,BAND_A,2025-04-03,,ACTIVE,1
DEVREC000021,DEV000021,USR001120,SMARTWATCH,IOS,WATCH_C,2024-06-26,,ACTIVE,1
DEVREC000022,DEV000022,USR004433,SMARTWATCH,ANDROID,WATCH_B,2025-06-16,,ACTIVE,1
DEVREC000023,DEV000023,USR004597,FITNESS_BAND,ANDROID,BAND_B,2025-09-14,,ACTIVE,1
DEVREC000024,DEV000024,USR002528,MOBILE_PHONE,OTHER,PHONE_APP,2025-09-08,,ACTIVE,1
DEVREC000025,DEV000025,USR006631,FITNESS_BAND,ANDROID,BAND_A,2025-01-15,,ACTIVE,1
DEVREC000026,DEV000026,USR002006,SMARTWATCH,IOS,WATCH_A,2025-08-15,,ACTIVE,1
DEVREC000027,DEV000027,USR003067,BIKE_SENSOR,ANDROID,SENSOR_A,2024-08-19,,ACTIVE,1
DEVREC000028,DEV000028,USR001369,SMARTWATCH,IOS,WATCH_A,2025-11-20,,ACTIVE,1
DEVREC000029,DEV000029,USR001380,MOBILE_PHONE,ANDROID,PHONE_APP,2025-07-31,2026-03-05,INACTIVE,1
DEVREC000031,DEV000031,USR000390,SMARTWATCH,ANDROID,WATCH_B,2024-10-18,,ACTIVE,1
DEVREC000032,DEV000032,USR004791,SMARTWATCH,ANDROID,WATCH_C,2025-02-17,,ACTIVE,1
DEVREC000033,DEV000033,USR007036,SMARTWATCH,IOS,WATCH_A,2024-06-04,,ACTIVE,1
DEVREC000034,DEV000034,USR006986,SMARTWATCH,ANDROID,WATCH_B,2025-04-20,,ACTIVE,1
DEVREC000035,DEV000035,USR002004,FITNESS_BAND,ANDROID,BAND_B,2024-09-11,,ACTIVE,1
DEVREC000036,DEV000036,USR005031,FITNESS_BAND,CROSS_PLATFORM,BAND_A,2025-11-17,,ACTIVE,1
DEVREC000037,DEV000037,USR001042,SMARTWATCH,OTHER,WATCH_C,2025-12-22,,ACTIVE,1
DEVREC000038,DEV000038,USR006424,SMARTWATCH,IOS,WATCH_B,2025-10-20,,ACTIVE,1
DEVREC000039,DEV000039,USR001888,BIKE_SENSOR,ANDROID,SENSOR_B,2025-09-21,,ACTIVE,1
DEVREC000040,DEV000040,USR007461,SMARTWATCH,ANDROID,WATCH_B,2025-06-24,,ACTIVE,1
DEVREC000041,DEV000041,USR006599,SMARTWATCH,ANDROID,WATCH_C,2024-12-01,,ACTIVE,1
DEVREC000042,DEV000042,USR001459,SMARTWATCH,ANDROID,WATCH_B,2025-09-18,,ACTIVE,1
DEVREC000043,DEV000043,USR006440,MOBILE_PHONE,IOS,PHONE_APP,2025-01-09,,ACTIVE,1
DEVREC000044,DEV000044,USR007382,FITNESS_BAND,ANDROID,BAND_A,2025-07-17,,ACTIVE,1
DEVREC000045,DEV000045,USR000238,MOBILE_PHONE,IOS,PHONE_APP,2025-09-07,2025-11-16,INACTIVE,1
DEVREC000046,DEV000046,USR003798,MOBILE_PHONE,ANDROID,PHONE_APP,2025-09-02,2026-06-30,RETIRED,1
DEVREC000047,DEV000047,USR006814,FITNESS_BAND,ANDROID,BAND_A,2025-07-07,,ACTIVE,1
DEVREC000048,DEV000048,USR003730,SMARTWATCH,ANDROID,WATCH_C,2025-10-25,,ACTIVE,1
DEVREC000049,DEV000049,USR003808,FITNESS_BAND,ANDROID,BAND_B,2025-04-15,,ACTIVE,1
DEVREC000050,DEV000050,USR005315,SMARTWATCH,ANDROID,WATCH_C,2025-09-30,,ACTIVE,1
DEVREC000051,DEV000051,USR003634,FITNESS_BAND,ANDROID,BAND_B,2025-08-24,2026-01-17,INACTIVE,1
DEVREC000052,DEV000052,USR003859,MOBILE_PHONE,IOS,PHONE_APP,2025-09-16,2025-10-22,INACTIVE,1
DEVREC000053,DEV000053,USR003756,MOBILE_PHONE,ANDROID,PHONE_APP,2025-07-28,2025-10-14,INACTIVE,1
DEVREC000054,DEV000054,USR004527,MOBILE_PHONE,IOS,PHONE_APP,2025-03-08,,ACTIVE,1
DEVREC000055,DEV000055,USR001683,SMARTWATCH,IOS,WATCH_A,2025-02-03,,ACTIVE,1
DEVREC000056,DEV000056,USR003723,FITNESS_BAND,IOS,BAND_B,2025-07-28,,ACTIVE,1
DEVREC000057,DEV000057,USR000914,FITNESS_BAND,ANDROID,BAND_B,2025-09-13,2026-01-06,INACTIVE,1
DEVREC000058,DEV000058,USR005717,MOBILE_PHONE,IOS,PHONE_APP,2025-09-17,,ACTIVE,1
DEVREC000059,DEV000059,USR004274,SMARTWATCH,ANDROID,WATCH_B,2025-10-05,,ACTIVE,1
DEVREC000060,DEV000060,USR003285,FITNESS_BAND,CROSS_PLATFORM,BAND_A,2025-07-12,,ACTIVE,1
DEVREC000061,DEV000061,USR000608,FITNESS_BAND,IOS,BAND_A,2025-12-09,,ACTIVE,1
DEVREC000062,DEV000062,USR006441,SMARTWATCH,IOS,WATCH_A,2025-12-26,2026-06-30,INACTIVE,1
DEVREC000063,DEV000063,USR006676,FITNESS_BAND,ANDROID,BAND_B,2025-12-09,2026-01-30,INACTIVE,1
DEVREC000064,DEV000064,USR001855,MOBILE_PHONE,ANDROID,PHONE_APP,2024-12-09,,ACTIVE,1
DEVREC000065,DEV000065,USR007401,MOBILE_PHONE,ANDROID,PHONE_APP,2025-07-08,,ACTIVE,1
DEVREC000066,DEV000066,USR003476,MOBILE_PHONE,ANDROID,PHONE_APP,2025-06-08,,ACTIVE,1
DEVREC000067,DEV000067,USR006198,MOBILE_PHONE,ANDROID,PHONE_APP,2025-11-22,2026-06-30,RETIRED,1
DEVREC000068,DEV000068,USR004374,MOBILE_PHONE,ANDROID,PHONE_APP,2025-02-10,,ACTIVE,1
DEVREC000069,DEV000069,USR003864,MOBILE_PHONE,ANDROID,PHONE_APP,2024-07-13,,ACTIVE,1
DEVREC000070,DEV000070,USR003497,MOBILE_PHONE,ANDROID,PHONE_APP,2024-10-15,,ACTIVE,1
DEVREC000071,DEV000071,USR006708,FITNESS_BAND,ANDROID,BAND_B,2025-09-09,,ACTIVE,1
DEVREC000072,DEV000072,USR004204,FITNESS_BAND,IOS,BAND_A,2025-09-05,,ACTIVE,1
DEVREC000073,DEV000073,USR006464,SMARTWATCH,ANDROID,WATCH_C,2024-07-26,,ACTIVE,1
DEVREC000074,DEV000074,USR004975,MOBILE_PHONE,ANDROID,PHONE_APP,2024-11-17,,ACTIVE,1
DEVREC000075,DEV000075,USR005756,FITNESS_BAND,CROSS_PLATFORM,BAND_B,2024-05-01,,ACTIVE,1
DEVREC000076,DEV000076,USR002061,FITNESS_BAND,ANDROID,BAND_A,2025-07-21,,ACTIVE,1
DEVREC000077,DEV000077,USR004255,FITNESS_BAND,CROSS_PLATFORM,BAND_B,2025-09-09,,ACTIVE,1
DEVREC000078,DEV000078,USR000452,MOBILE_PHONE,ANDROID,PHONE_APP,2025-08-17,,ACTIVE,1
DEVREC000080,DEV000080,USR000009,FITNESS_BAND,IOS,BAND_B,2025-08-13,,ACTIVE,1
DEVREC000081,DEV000081,USR002596,MOBILE_PHONE,ANDROID,PHONE_APP,2025-06-09,,ACTIVE,1
DEVREC000082,DEV000082,USR001015,SMARTWATCH,IOS,WATCH_B,2025-05-06,2026-03-11,INACTIVE,1
DEVREC000083,DEV000083,USR001407,SMARTWATCH,IOS,WATCH_C,2025-08-20,,ACTIVE,1
DEVREC000084,DEV000084,USR004481,SMARTWATCH,ANDROID,WATCH_B,2025-10-15,,ACTIVE,1
DEVREC000085,DEV000085,USR005527,FITNESS_BAND,IOS,BAND_A,2025-10-26,2026-04-04,RETIRED,1
DEVREC000086,DEV000086,USR007773,FITNESS_BAND,ANDROID,BAND_B,2025-09-11,,ACTIVE,1
DEVREC000087,DEV000087,USR007954,SMARTWATCH,IOS,WATCH_B,2024-12-26,,ACTIVE,1
DEVREC000088,DEV000088,USR005188,SMARTWATCH,ANDROID,WATCH_B,2025-11-13,,ACTIVE,1
DEVREC000089,DEV000089,USR003588,FITNESS_BAND,IOS,BAND_A,2025-12-13,,ACTIVE,1
DEVREC000090,DEV000090,USR006073,MOBILE_PHONE,ANDROID,PHONE_APP,2025-10-07,2026-03-05,RETIRED,1
DEVREC000091,DEV000091,USR006689,SMARTWATCH,ANDROID,WATCH_C,2025-08-03,,ACTIVE,1
DEVREC000092,DEV000092,USR003334,MOBILE_PHONE,ANDROID,PHONE_APP,2025-12-04,,ACTIVE,1
DEVREC000093,DEV000093,USR000482,MOBILE_PHONE,ANDROID,PHONE_APP,2025-07-29,,ACTIVE,1
DEVREC000094,DEV000094,USR004206,SMARTWATCH,ANDROID,WATCH_B,2025-08-03,,ACTIVE,1
DEVREC000095,DEV000095,USR007604,SMARTWATCH,ANDROID,WATCH_B,2025-07-08,2026-06-30,RETIRED,1
DEVREC000096,DEV000096,USR007161,SMARTWATCH,ANDROID,WATCH_C,2025-08-14,,ACTIVE,1
DEVREC000097,DEV000097,USR003606,MOBILE_PHONE,IOS,PHONE_APP,2025-11-29,,ACTIVE,1
DEVREC000098,DEV000098,USR006311,SMARTWATCH,IOS,WATCH_A,2024-10-27,,ACTIVE,1
DEVREC000099,DEV000099,USR006109,SMARTWATCH,CROSS_PLATFORM,WATCH_B,2025-05-26,2026-04-21,INACTIVE,1
DEVREC000100,DEV000100,USR006246,FITNESS_BAND,CROSS_PLATFORM,BAND_A,2024-11-29,,ACTIVE,1
DEVREC000101,DEV000101,USR002648,BIKE_SENSOR,IOS,SENSOR_A,2024-10-14,,ACTIVE,1
DEVREC000102,DEV000102,USR007421,SMARTWATCH,ANDROID,WATCH_C,2025-07-14,,ACTIVE,1
DEVREC000103,DEV000103,USR005140,FITNESS_BAND,CROSS_PLATFORM,BAND_B,2025-06-13,,ACTIVE,1
