source_record_id,goal_id,user_id,goal_type,target_value,target_unit,goal_start_date,goal_end_date,goal_status,activity_type_scope,schema_version
GOLREC000129,GOL000129,USR006801,WORKOUT_COUNT,4.0,WORKOUTS,2026-01-13,2026-03-13,ACTIVE,,1
GOLREC000130,GOL000130,USR000945,WORKOUT_COUNT,30.0,WORKOUTS,2026-01-06,2026-02-05,COMPLETED,OTHER,1
GOLREC000131,GOL000131,USR002538,DURATION_MINUTES,1518.0,MINUTES,2026-02-08,2026-03-10,ACTIVE,YOGA,1
GOLREC000132,GOL000132,USR000903,DISTANCE_KM,85.0,KM,2026-03-04,2026-05-02,ACTIVE,RUN,1
GOLREC000133,GOL000133,USR000244,DURATION_MINUTES,1475.0,MINUTES,2026-04-07,2026-06-05,COMPLETED,WALK,1
GOLREC000134,GOL000134,USR001803,DURATION_MINUTES,1244.0,MINUTES,2026-04-01,2026-05-30,COMPLETED,CYCLE,1
GOLREC000135,GOL000135,USR001354,CALORIES,17060.0,KCAL,2026-02-09,2026-05-09,ACTIVE,,1
GOLREC000136,GOL000136,USR006144,CALORIES,13462.1,KCAL,2026-05-13,2026-06-12,CANCELLED,RUN,1
GOLREC000137,GOL000137,USR002858,DURATION_MINUTES,1514.0,MINUTES,2026-03-13,2026-04-11,COMPLETED,,1
GOLREC000138,GOL000138,USR003276,WORKOUT_COUNT,13.0,WORKOUTS,2026-03-01,2026-03-31,ACTIVE,,1
GOLREC000139,GOL000139,USR004620,DURATION_MINUTES,222.0,MINUTES,2026-05-04,2026-06-02,COMPLETED,CYCLE,1
GOLREC000140,GOL000140,USR004942,DURATION_MINUTES,288.0,MINUTES,2026-04-05,2026-06-03,ACTIVE,RUN,1
GOLREC000141,GOL000141,USR007129,DURATION_MINUTES,1596.0,MINUTES,2026-02-16,2026-03-18,EXPIRED,,1
GOLREC000142,GOL000142,USR002673,DURATION_MINUTES,190.0,MINUTES,2026-01-12,2026-03-12,ACTIVE,,1
GOLREC000143,GOL000143,USR007881,DURATION_MINUTES,1072.0,MINUTES,2026-04-03,2026-04-30,COMPLETED,,1
GOLREC000144,GOL000144,USR001740,DURATION_MINUTES,989.0,MINUTES,2026-03-11,2026-04-07,COMPLETED,OTHER,1
GOLREC000145,GOL000145,USR004549,CALORIES,5106.3,KCAL,2026-05-20,2026-06-19,EXPIRED,SWIM,1
GOLREC000146,GOL000146,USR005410,WORKOUT_COUNT,6.0,WORKOUTS,2026-05-02,2026-06-30,EXPIRED,,1
GOLREC000147,GOL000147,USR004954,DISTANCE_KM,72.1,KM,2026-02-12,2026-04-12,COMPLETED,SWIM,1
GOLREC000148,GOL000148,USR000700,WORKOUT_COUNT,31.0,WORKOUTS,2026-02-13,2026-04-13,EXPIRED,,1
GOLREC000149,GOL000149,USR006462,DURATION_MINUTES,1068.0,MINUTES,2026-02-14,2026-03-16,ACTIVE,,1
GOLREC000150,GOL000150,USR006085,CALORIES,9619.9,KCAL,2026-05-16,2026-06-15,ACTIVE,,1
GOLREC000151,GOL000151,USR003842,DURATION_MINUTES,1201.0,MINUTES,2026-03-16,2026-04-12,EXPIRED,,1
